epoch,total_reward,total_demand
727,-9.0,66
728,-8.0,66
729,-1.0,70
730,-38.0,67
731,-32.0,67
732,-27.0,68
733,2.0,66
734,-176.0,74
735,-13.0,80
736,-12.0,75
737,-5.0,60
738,-34.0,74
739,9.0,65
740,-15.0,73
741,3.0,69
742,7.0,69
743,-114.0,76
744,-47.0,74
745,-2.0,64
746,-10.0,69
747,-85.0,69
748,-85.0,65
749,-100.0,65
750,0.0,61
751,4.0,56
752,-113.0,68
753,-64.0,70
754,-4.0,60
755,-3.0,65
756,-24.0,75
757,5.0,67
758,-9.0,68
759,3.0,68
760,-5.0,67
761,-22.0,66
762,-48.0,66
763,1.0,69
764,-17.0,66
765,1.0,69
766,-22.0,60
767,-39.0,65
768,-58.0,58
769,-14.0,69
770,5.0,66
771,2.0,75
772,-1.0,70
773,-10.0,68
774,-39.0,67
775,9.0,68
776,-9.0,67
777,-3.0,67
778,3.0,63
779,0.0,69
780,-19.0,64
781,-6.0,72
782,-11.0,76
783,-17.0,68
784,-74.0,69
785,-14.0,74
786,-72.0,72
787,-16.0,64
788,-8.0,71
789,1.0,68
790,-27.0,75
791,-66.0,58
792,-16.0,71
793,-66.0,64
794,-39.0,66
795,-7.0,64
796,-14.0,74
797,-20.0,67
798,5.0,64
799,-36.0,77
800,-15.0,65
801,-14.0,71
802,-22.0,78
803,-19.0,72
804,-25.0,66
805,-10.0,65
806,-44.0,64
807,0.0,65
808,-1.0,62
809,0.0,66
810,-82.0,66
811,-24.0,71
812,0.0,69
813,-10.0,73
814,-104.0,70
815,-22.0,76
816,12.0,62
817,-122.0,77
818,-10.0,63
819,-7.0,64
820,-9.0,68
821,-33.0,68
822,-35.0,61
823,12.0,68
824,-5.0,65
825,-6.0,72
826,-25.0,67
827,-6.0,70
828,-18.0,72
829,-5.0,69
830,-21.0,69
831,-9.0,72
832,-5.0,64
833,-43.0,72
834,-90.0,68
835,-75.0,67
836,-45.0,71
837,-13.0,63
838,-16.0,75
839,-18.0,70
840,-10.0,65
841,-18.0,72
842,-118.0,71
843,-4.0,73
844,-10.0,69
845,-47.0,65
846,-55.0,68
847,-82.0,63
848,-21.0,79
849,-13.0,64
850,-35.0,73
851,-2.0,69
852,-29.0,70
853,1.0,78
854,9.0,66
855,-11.0,69
856,-18.0,75
857,-33.0,68
858,-17.0,72
859,-67.0,67
860,-23.0,70
861,-10.0,68
862,-5.0,67
863,-11.0,70
864,-28.0,75
865,-11.0,63
866,-9.0,71
867,-6.0,68
868,-11.0,63
869,-17.0,64
870,-118.0,66
871,-51.0,72
872,-9.0,71
873,-22.0,74
874,-25.0,76
875,-17.0,66
876,-14.0,69
877,-35.0,80
878,-1.0,63
879,-10.0,69
880,-101.0,71
881,6.0,69
882,-4.0,73
883,-107.0,68
884,2.0,64
885,4.0,61
886,-50.0,71
887,-8.0,73
888,-8.0,71
889,-20.0,68
890,-2.0,58
891,-24.0,69
892,-14.0,64
893,-38.0,67
894,-17.0,68
895,-11.0,73
896,0.0,71
897,-95.0,73
898,-7.0,64
899,-58.0,75
900,-21.0,71
901,-50.0,62
902,9.0,58
903,8.0,62
904,-32.0,59
905,-24.0,69
906,2.0,68
907,-41.0,68
908,-22.0,72
909,6.0,67
910,-35.0,70
911,-80.0,71
912,-18.0,73
913,-8.0,65
914,-1.0,69
915,-86.0,65
916,-29.0,70
917,-15.0,73
918,-14.0,68
919,-29.0,67
920,-16.0,76
921,14.0,67
922,-16.0,70
923,-2.0,70
924,-14.0,66
925,-3.0,64
926,-20.0,68
927,-13.0,71
928,4.0,71
929,-17.0,74
930,-42.0,63
931,3.0,65
932,-14.0,71
933,-79.0,67
934,-1.0,69
935,-38.0,66
936,-44.0,63
937,-42.0,68
938,-57.0,67
939,-100.0,71
940,-59.0,74
941,-1.0,66
942,-5.0,66
943,-13.0,66
944,10.0,64
