epoch,total_reward,total_demand
1207,-9.0,76
1208,1.0,73
1209,-2.0,72
1210,1.0,65
1211,10.0,65
1212,5.0,71
1213,2.0,65
1214,6.0,66
1215,8.0,65
1216,7.0,65
1217,7.0,66
1218,8.0,70
1219,4.0,69
1220,9.0,68
1221,14.0,65
1222,12.0,61
1223,-14.0,77
1224,15.0,60
1225,15.0,67
1226,11.0,66
1227,15.0,70
1228,14.0,66
1229,13.0,69
1230,12.0,70
1231,9.0,68
1232,3.0,75
1233,13.0,67
1234,9.0,70
1235,5.0,69
1236,10.0,69
1237,9.0,76
1238,8.0,67
1239,6.0,70
1240,-7.0,79
1241,7.0,68
1242,-18.0,69
1243,-24.0,70
1244,2.0,67
1245,14.0,67
1246,-3.0,72
1247,-2.0,72
1248,-12.0,71
1249,9.0,70
1250,11.0,69
1251,12.0,68
1252,10.0,68
1253,-31.0,72
1254,5.0,69
1255,5.0,61
1256,7.0,62
1257,10.0,65
1258,-5.0,65
1259,10.0,73
1260,-1.0,67
1261,10.0,69
1262,10.0,58
1263,3.0,73
1264,8.0,63
1265,8.0,60
1266,6.0,75
1267,-2.0,75
1268,8.0,63
1269,1.0,70
1270,13.0,63
1271,9.0,66
1272,10.0,65
1273,0.0,74
1274,5.0,64
1275,-7.0,76
1276,11.0,61
1277,5.0,73
1278,1.0,66
1279,13.0,59
1280,14.0,62
1281,10.0,67
1282,17.0,69
1283,1.0,77
1284,5.0,68
1285,6.0,75
1286,13.0,70
1287,9.0,68
1288,-9.0,76
1289,-29.0,68
1290,-40.0,70
1291,12.0,64
1292,12.0,71
1293,-4.0,70
1294,5.0,72
1295,11.0,63
1296,15.0,63
1297,6.0,66
1298,3.0,69
1299,-4.0,79
1300,5.0,67
1301,8.0,69
1302,5.0,69
1303,6.0,67
1304,13.0,62
1305,11.0,71
1306,14.0,71
1307,10.0,67
1308,15.0,63
1309,12.0,66
1310,8.0,66
1311,17.0,69
1312,7.0,63
1313,-10.0,74
1314,12.0,65
1315,-7.0,76
1316,7.0,65
1317,7.0,73
1318,7.0,66
1319,-5.0,74
1320,14.0,66
1321,13.0,69
1322,11.0,66
1323,9.0,67
1324,3.0,79
1325,12.0,70
1326,11.0,68
1327,9.0,67
1328,7.0,68
1329,5.0,67
1330,2.0,70
1331,13.0,65
1332,-1.0,70
1333,17.0,64
1334,9.0,63
1335,12.0,59
1336,5.0,74
1337,7.0,76
1338,1.0,74
1339,11.0,67
1340,8.0,62
1341,-3.0,69
1342,8.0,71
1343,9.0,65
1344,7.0,69
1345,10.0,70
1346,11.0,66
1347,10.0,68
1348,14.0,65
1349,4.0,72
1350,10.0,68
1351,10.0,71
1352,9.0,73
1353,9.0,69
1354,12.0,67
1355,10.0,68
1356,3.0,70
1357,3.0,68
1358,16.0,63
1359,16.0,68
1360,10.0,75
1361,10.0,67
1362,5.0,68
1363,11.0,53
1364,-4.0,63
1365,9.0,67
1366,12.0,65
1367,5.0,64
1368,9.0,66
1369,0.0,70
1370,-3.0,75
1371,-15.0,78
1372,16.0,69
1373,1.0,70
1374,6.0,69
1375,5.0,72
1376,9.0,65
